sequence_id,sequence_label,adc_samples,tool_key,tool_label,run,total_ms,total_seconds,median_seconds,q1_seconds,q3_seconds,status,error_type,error_message
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,pypulseq,PyPulseq,2,1446.4641246013343,1.4464641246013343,1.4415190410800278,1.4185681669041514,1.4464641246013343,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,pypulseq,PyPulseq,3,1418.5681669041514,1.4185681669041514,1.4415190410800278,1.4185681669041514,1.4464641246013343,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,pypulseq,PyPulseq,4,1441.5190410800278,1.4415190410800278,1.4415190410800278,1.4185681669041514,1.4464641246013343,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,pypulseq,PyPulseq,5,1413.0346248857677,1.4130346248857677,1.4415190410800278,1.4185681669041514,1.4464641246013343,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,seqeyes,SeqEyes-Plus,1,200.80000019073486,0.20080000019073485,0.20209999990463257,0.20169999980926515,0.21540000009536744,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,seqeyes,SeqEyes-Plus,2,217.5,0.2175,0.20209999990463257,0.20169999980926515,0.21540000009536744,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,seqeyes,SeqEyes-Plus,3,201.69999980926514,0.20169999980926515,0.20209999990463257,0.20169999980926515,0.21540000009536744,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,seqeyes,SeqEyes-Plus,4,202.09999990463257,0.20209999990463257,0.20209999990463257,0.20169999980926515,0.21540000009536744,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,seqeyes,SeqEyes-Plus,5,215.40000009536743,0.21540000009536744,0.20209999990463257,0.20169999980926515,0.21540000009536744,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,matlab,Pulseq MATLAB,1,2139.179125,2.139179125,1.9268845,1.926564,1.9621012083333333,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,matlab,Pulseq MATLAB,2,1962.1012083333333,1.9621012083333333,1.9268845,1.926564,1.9621012083333333,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,matlab,Pulseq MATLAB,3,1926.5639999999999,1.926564,1.9268845,1.926564,1.9621012083333333,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,matlab,Pulseq MATLAB,4,1916.0900000000001,1.91609,1.9268845,1.926564,1.9621012083333333,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,matlab,Pulseq MATLAB,5,1926.8845,1.9268845,1.9268845,1.926564,1.9621012083333333,complete,,
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,pypulseq,PyPulseq,1,,,,,,failed,ValueError,Unknown section code: extension ROTATIONS 1
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,pypulseq,PyPulseq,2,,,,,,failed,ValueError,Unknown section code: extension ROTATIONS 1
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,pypulseq,PyPulseq,3,,,,,,failed,ValueError,Unknown section code: extension ROTATIONS 1
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,pypulseq,PyPulseq,4,,,,,,failed,ValueError,Unknown section code: extension ROTATIONS 1
